sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
SOI038,10542,9869,9436,433,8328,0.97,884,3,185,3215
SOI039,32910,31486,30568,918,28950,0.97,600,3,130,13754
SOI040,12816,12092,11568,524,10786,0.97,257,3,60,5145
SOI041,8676,7937,7606,331,6974,0.97,150,3,103,3375
SOI042,19372,17602,16284,1318,14624,0.97,540,3,101,6684
SOI043,14874,13153,12318,835,7996,0.97,694,3,212,2527
SOI044,17666,16402,15508,894,12964,0.97,979,3,190,5119
SOI045,10556,9508,8904,604,7464,0.97,367,3,107,3275
SOI046,20668,19653,18998,655,17798,0.97,475,3,98,8382
SOI047,13674,12959,12540,419,11508,0.97,213,3,55,5354
SOI048,11632,10380,9448,932,7220,0.97,461,3,175,2981
SOI049,16782,15837,15182,655,13602,0.97,607,3,142,6083
SOI050,20040,18413,17204,1209,15336,0.97,570,3,126,7115
SOI051,32440,30577,29454,1123,26054,0.97,1715,3,503,11213
SOI052,40230,37147,35654,1493,32816,0.97,1574,3,331,14830
SOI053,25662,23873,22680,1193,20708,0.97,524,3,97,9835
SOI054,19190,18107,17434,673,15958,0.97,1067,3,197,6837
SOI055,11168,10290,9876,414,8674,0.97,365,3,74,3825
SOI056,6464,6073,5822,251,5196,0.97,133,3,18,2444
SOI057,7566,7078,6770,308,5952,0.97,726,3,140,2265
SOI058,8436,7800,7448,352,6428,0.97,622,3,103,2552
SOI059,10260,9455,8978,477,7092,0.97,460,3,89,2971
SOI060,9762,9058,8624,434,7048,0.97,504,3,83,2912
SOI061,9008,7636,7142,494,6196,0.97,286,3,70,2806
SOI062,6914,6425,6122,303,5198,0.97,805,3,146,1674
SOI063,6406,4951,4694,257,3116,0.97,363,3,86,927
SOI064,24634,5539,4880,659,4408,0.97,8,3,6,2195
SOI065,57028,39733,34024,5709,17436,0.97,37,3,27,8558
Tyne,3776,3397,3130,267,2552,0.97,54,3,12,1220
WAT001,12392,11609,11146,463,9642,0.97,262,3,58,4536
WAT002,8034,7350,6884,466,5412,0.97,534,3,110,2124
WAT003D,6452,5989,5690,299,5120,0.97,395,3,63,2110
WAT004D,4564,4273,4082,191,2992,0.97,165,3,31,519
